City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Ancud,CL,-41.8697,-73.8203,51.42,95,100,18.52,moderate rain
127,Inhambane,MZ,-23.865,35.3833,69.04,68,1,9.31,clear sky
128,Raleigh,US,35.7721,-78.6386,84.18,56,20,1.99,few clouds
129,Morondava,MG,-20.2833,44.2833,74.84,78,58,11.21,broken clouds
130,Koutiala,ML,12.3917,-5.4642,88.72,51,63,6.13,broken clouds
131,Atar,MR,20.5169,-13.0499,108.99,11,0,13.04,clear sky
132,Evensk,RU,61.95,159.2333,46.71,83,100,16.55,overcast clouds
133,Bethel,US,41.3712,-73.414,75.49,81,90,6.91,overcast clouds
134,Priiskovyy,RU,51.9333,116.6333,59.63,87,54,2.64,broken clouds
135,San Patricio,US,28.017,-97.5169,91.02,60,100,4.23,overcast clouds
136,Manono,CD,-7.3,27.4167,88.61,24,0,1.61,clear sky
137,Livingston,GB,55.9029,-3.5226,67.28,58,0,17.27,clear sky
138,Karasjok,NO,69.4719,25.5112,57.31,54,91,0.89,overcast clouds
139,Geraldton,AU,-28.7667,114.6,50.41,71,0,6.91,clear sky
140,Mandurah,AU,-32.55,115.7,50.22,73,0,9.31,clear sky
141,Gizo,SB,-8.103,156.8419,80.06,73,96,13.2,overcast clouds
142,Klimovo,RU,52.3805,32.1923,77.13,53,97,4.52,overcast clouds
143,Umm Kaddadah,SD,13.6017,26.6876,95.41,29,19,7.29,few clouds
144,Zhanaozen,KZ,43.3,52.8,97.66,15,64,15.39,broken clouds
145,Monrovia,LR,6.3005,-10.7969,83.97,75,99,15.75,light rain
146,Miandrivazo,MG,-19.5167,45.4667,76.44,57,16,10.31,few clouds
147,Terrace,CA,54.5163,-128.6035,62.51,94,90,6.91,light rain
148,Khatanga,RU,71.9667,102.5,60.98,42,45,10.42,scattered clouds
149,Qaqortoq,GL,60.7167,-46.0333,57.7,82,100,4.18,overcast clouds
150,Chara,RU,56.9064,118.2631,57.07,94,100,1.14,light rain
151,Tuatapere,NZ,-46.1333,167.6833,33.82,89,25,3.4,scattered clouds
152,Yaan,NG,7.3833,8.5667,78.12,84,95,4.47,moderate rain
153,Bambous Virieux,MU,-20.3428,57.7575,69.22,68,97,14.92,overcast clouds
154,Black River,JM,18.0264,-77.8487,85.98,45,47,14.2,scattered clouds
155,Grand Gaube,MU,-20.0064,57.6608,69.39,67,69,8.99,broken clouds
156,Byron Bay,AU,-28.65,153.6167,53.87,76,6,6.96,clear sky
157,Viru,PE,-8.4167,-78.75,65.5,57,26,5.82,scattered clouds
158,Lompoc,US,34.6391,-120.4579,82.13,88,90,11.5,overcast clouds
159,Chuy,UY,-33.6971,-53.4616,61.43,83,73,9.69,broken clouds
160,Saint George,US,37.1041,-113.5841,98.55,22,0,1.01,clear sky
161,Hofn,IS,64.2539,-15.2082,55.42,82,90,9.22,overcast clouds
162,Swan Hill,AU,-35.3378,143.5544,52.36,74,100,7.09,overcast clouds
163,Fairmont,US,39.4851,-80.1426,82.98,68,3,3.47,clear sky
164,Zhenhai,CN,24.2582,118.0905,77.99,96,100,28.19,heavy intensity rain
165,Mahenge,TZ,-8.6833,36.7167,66.02,57,81,1.12,broken clouds
