City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
329,Yatou,CN,75.65,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
330,Meulaboh,ID,78.21,overcast clouds,4.1363,96.1285,Kost Pria
335,Kamaishi,JP,76.6,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
338,El Viejo,NI,82.58,overcast clouds,12.6633,-87.1672,Hotel El Viejo Inn
339,Luwuk,ID,76.78,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
342,Wilmington,US,78.98,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
347,Bartica,GY,89.92,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
353,Korla,CN,86.27,broken clouds,41.7597,86.1469,Gulisitan Hotel
357,Lucea,JM,85.86,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
358,Tezu,IN,79.92,broken clouds,27.9167,96.1667,Circuit House
360,Acarau,BR,89.58,few clouds,-2.8856,-40.12,castelo pizzaria
361,Tallahassee,US,80.92,overcast clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
365,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
366,Republic,US,80.38,broken clouds,37.12,-93.4802,AmericInn by Wyndham Republic
369,Namibe,AO,75.29,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
370,Omboue,GA,78.6,broken clouds,-1.5746,9.2618,Hotel Olako
372,Kutum,SD,88.77,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
374,Tual,ID,80.51,broken clouds,-5.6667,132.75,Grand Vilia Hotel
379,Rocky Mount,US,81.36,clear sky,35.9382,-77.7905,Days Inn & Suites by Wyndham Rocky Mount Golden East
380,Naze,JP,77.67,overcast clouds,28.3667,129.4833,Amami Port Tower Hotel
381,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
383,Itacare,BR,76.03,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
